Title,Type,Series,Publisher,Year,ISSN,ISBN,DOI,Affiliation
"Estradiol impairs hyposmoregulatory capacity in the euryhaline tilapia, Oreochromis mossambicus",journal-article,"American Journal of Physiology-Regulatory, Integrative and Comparative Physiology",American Physiological Society,2017,0363-6119,,https://doi.org/10.1152/ajpregu.2001.281.4.r1161,"Department of Biology, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1;"
Grey Is the New Black: Advancing Understanding of New Organizational Forms and Blurring Sector Boundaries in Sport Management,journal-article,Journal of Sport Management,Human Kinetics,2017,0888-4773,,https://doi.org/10.1123/jsm.2017-0030,University of Waterloo
It’s Alive!,journal-article,Psychological Science,SAGE Publications,2010,0956-7976,,https://doi.org/10.1177/0956797610387440,University of Waterloo
Corrosion and corrosion fatigue performances of micro-arc oxidation coating on AZ31B cast magnesium alloy,journal-article,Materials and Corrosion,Wiley,2018,0947-5117,,https://doi.org/10.1002/maco.201810293,Mechanical and Mechatronics;  Engineering Department; University of Waterloo; 200 University Avenue West Waterloo ON N2L 3G1 Canada
Changes in EEG Cross-Frequency Coupling During Cognitive Behavioral Therapy for Social Anxiety Disorder,journal-article,Psychological Science,SAGE Publications,2011,0956-7976,,https://doi.org/10.1177/0956797611400914,"Department of Psychology, University of Waterloo"
"Constructing Symbolic Ancestry: Befriending Time, Confronting Death",journal-article,OMEGA - Journal of Death and Dying,SAGE Publications,2005,0030-2228,,https://doi.org/10.2190/eu0d-j1b0-jkj0-ghmd,"Department of Sociology, University of Waterloo"
A framework for assessing cumulative effects in watersheds: An introduction to Canadian case studies,journal-article,Integrated Environmental Assessment and Management,Wiley,2013,1551-3777,,https://doi.org/10.1002/ieam.1418,University of Waterloo; Waterloo Ontario Canada
"Scale, assessment components, and reference conditions: Issues for cumulative effects assessment in Canadian watersheds",journal-article,Integrated Environmental Assessment and Management,Wiley,2012,1551-3777,,https://doi.org/10.1002/ieam.1332,Department of Biology; University of Waterloo; Waterloo Ontario Canada
A scalable in situ surfactant-free synthesis of a uniform MnO/graphene composite for highly reversible lithium storage,journal-article,Dalton Transactions,Royal Society of Chemistry (RSC),2016,1477-9226,,https://doi.org/10.1039/c6dt03804b,University of Waterloo
Book Reviews,journal-article,International Journal of Francophone Studies,Intellect,2018,1368-2679,,https://doi.org/10.1386/ijfs.21.1-2.143_5,University of Waterloo
Depressive symptoms and frailty,journal-article,International Journal of Geriatric Psychiatry,Wiley,2012,0885-6230,,https://doi.org/10.1002/gps.3866,"School of Public Health and Health Systems, and Department of Psychology; University of Waterloo; Canada"
The Monitoring and Improvement of Surgical-Outcome Quality,journal-article,Journal of Quality Technology,Informa UK Limited,2017,0022-4065,,https://doi.org/10.1080/00224065.2015.11918141,"University of Waterloo, Waterloo, Ontario, Canada N2L 3G1"
Non-similar solution of free convective flow of power law nanofluids in porous medium along a vertical cone and plate with thermal and mass convective boundary conditions,journal-article,Canadian Journal of Physics,Canadian Science Publishing,2015,0008-4204,,https://doi.org/10.1139/cjp-2014-0471,"Department of Mechanical and Mechatronics Engineering, University of Waterloo, Waterloo, ON N2L 3G1, Canada."
Support for and Reported Compliance Among Smokers With Smoke-Free Policies in Air-Conditioned Hospitality Venues in Malaysia and Thailand: Findings From the International Tobacco Control Southeast Asia Survey,journal-article,Asia Pacific Journal of Public Health,SAGE Publications,2011,1010-5395,,https://doi.org/10.1177/1010539509351303,"Department of Psychology, University of Waterloo, Waterloo,Ontario, Canada"
Hydromagnetic blasius flow of power-law nanofluids over a convectively heated vertical plate,journal-article,The Canadian Journal of Chemical Engineering,Wiley,2015,0008-4034,,https://doi.org/10.1002/cjce.22280,"Department of Mechanical Engineering; University of Waterloo; 200 University Avenue West, Waterloo; ON N2L 3G1 Canada"
Biomarkers of Exposure Among “Dual Users” of Tobacco Cigarettes and Electronic Cigarettes in Canada,journal-article,Nicotine & Tobacco Research,Oxford University Press (OUP),2018,1462-2203,,https://doi.org/10.1093/ntr/nty174,"School of Public Health and Health Systems, University of Waterloo, Waterloo, ON, Canada"
On the inverse problem for Channell collisionless plasma equilibria,journal-article,IMA Journal of Applied Mathematics,Oxford University Press (OUP),2018,0272-4960,,https://doi.org/10.1093/imamat/hxy026,"Department of Pure Mathematics, Faculty of Mathematics, University of Waterloo, Waterloo, Canada"
Multi-camera parallel tracking and mapping with non-overlapping fields of view,journal-article,The International Journal of Robotics Research,SAGE Publications,2015,0278-3649,,https://doi.org/10.1177/0278364915571429,"Department of Mechanical and Mechatronics Engineering, University of Waterloo, Waterloo, ON, Canada"
Vers une réflexion sur les liens potentiels entre modèles de laïcité et pratiques religieuses individuelles,journal-article,Studies in Religion/Sciences Religieuses,SAGE Publications,2018,0008-4298,,https://doi.org/10.1177/0008429818775599,"University of Waterloo, Ontario, Canada"
A polynomial lower bound for testing monotonicity,proceedings-article,Proceedings of the 48th Annual ACM SIGACT Symposium on Theory of Computing - STOC 2016,ACM Press,2016,,9781450341325,https://doi.org/10.1145/2897518.2897567,"University of Waterloo, Canada"
Characterization of Long Period Grating With a Screw Shape Fabricated by a Single-Path Scanning of Femtosecond Laser,proceedings-article,Volume 4: Processes,ASME,2018,,9780791851388,https://doi.org/10.1115/msec2018-6556,"University of Waterloo, Waterloo, ON, Canada"
Challenges for EPDM,journal-article,International Polymer Science and Technology,SAGE Publications,2018,0307-174X,,https://doi.org/10.1177/0307174x0403100201,"University of Waterloo, Ontario, Canada"
Haemodynamic Responses to Radial Motion in the Visual Cortex,journal-article,Journal of Near Infrared Spectroscopy,SAGE Publications,2013,0967-0335,,https://doi.org/10.1255/jnirs.1056,"University of Waterloo, Optometry and Vision Science, 200 University Avenue West, Waterloo, ON N2L 3G1, Canada"
Synthesis of curdlan-graft-poly(ethylene glycol) and formulation of doxorubicin-loaded core–shell nanoparticles,journal-article,Journal of Bioactive and Compatible Polymers,SAGE Publications,2012,0883-9115,,https://doi.org/10.1177/0883911511432511,"Department of Chemical Engineering, University of Waterloo, Canada"
Immuno- and hemocompatibility of amino acid pairing peptides for potential use in anticancer drug delivery,journal-article,Journal of Bioactive and Compatible Polymers,SAGE Publications,2014,0883-9115,,https://doi.org/10.1177/0883911514528144,"Department of Chemical Engineering, University of Waterloo, Waterloo, Ontario, Canada"
Immuno- and hemocompatibility of amino acid pairing peptides for potential use in anticancer drug delivery,journal-article,Journal of Bioactive and Compatible Polymers,SAGE Publications,2014,0883-9115,,https://doi.org/10.1177/0883911514528144,"Waterloo Institute for Nanotechnology, University of Waterloo, Ontario, Canada"
High resolution vibration-rotation emission spectroscopy of BaH,journal-article,Molecular Physics,Informa UK Limited,2006,0026-8976,,https://doi.org/10.1080/00268979300100401,"a   Centre for Molecular Beams and Laser Chemistry, Department of Chemistry , University of Waterloo ,  Waterloo ,  Ontario ,  Canada ,  N2L 3G1"
Metatation,journal-article,ACM Transactions on Computer-Human Interaction,Association for Computing Machinery (ACM),2017,1073-0516,,https://doi.org/10.1145/3131609,"University of Waterloo, Ontario, Canada"
Enhancing the critical path segments scheduling technique for project control1This paper is one of a selection of papers in this Special Issue on Construction Engineering and Management.,journal-article,Canadian Journal of Civil Engineering,Canadian Science Publishing,2012,0315-1468,,https://doi.org/10.1139/l2012-024,"Civil and Environmental Engineering Department, University of Waterloo, Waterloo, ON N2L 3G1, Canada."
Characterizing the Tautomers of Protonated Aniline Using Differential Mobility Spectrometry and Mass Spectrometry,journal-article,The Journal of Physical Chemistry A,American Chemical Society (ACS),2017,1089-5639,,https://doi.org/10.1021/acs.jpca.7b10872,"Department of Chemistry, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
Pharmacometric Modeling and Simulation Is Essential to Pediatric Clinical Pharmacology,journal-article,The Journal of Clinical Pharmacology,Wiley,2018,0091-2700,,https://doi.org/10.1002/jcph.1316,School of Pharmacy; University of Waterloo; Waterloo Canada
Eh?Placer,journal-article,ACM Transactions on Design Automation of Electronic Systems,Association for Computing Machinery (ACM),2016,1084-4309,,https://doi.org/10.1145/2899381,"University of Waterloo, Waterloo, Ontario"
"Interstitial Mo-Assisted Photovoltaic Effect in Multilayer MoSe2
 Phototransistors",journal-article,Advanced Materials,Wiley,2018,0935-9648,,https://doi.org/10.1002/adma.201705542,Department of Electrical and Computer Engineering and Waterloo Institute for Nanotechnology (WIN); University of Waterloo; Waterloo ON N2L 3G1 Canada
"Development, reliability, and validity testing of Toddler NutriSTEP: a nutrition risk screening questionnaire for children 18–35 months of age",journal-article,"Applied Physiology, Nutrition, and Metabolism",Canadian Science Publishing,2015,1715-5312,,https://doi.org/10.1139/apnm-2015-0048,"Schlegel-University of Waterloo Research Institute for Aging, University of Waterloo, Waterloo, ON N2L 3G1, Canada."
Learning trajectories and the role of online courses in a language program,journal-article,Computer Assisted Language Learning,Informa UK Limited,2017,0958-8221,,https://doi.org/10.1080/09588221.2017.1360362,"Waterloo Centre for German Studies, University of Waterloo, Waterloo, Canada"
Estimating the Unknown Parameters of the Natural History of Metachronous Colorectal Cancer Using Discrete-Event Simulation,journal-article,Medical Decision Making,SAGE Publications,2011,0272-989X,,https://doi.org/10.1177/0272989x10391809,"Department of Industrial and Systems Engineering, University of Wisconsin-Madison, Madison, Wisconsin (Department of Management Sciences, University of Waterloo Waterloo (FSE); OA)"
"Using safe, affordable and accessible non-steroidal anti-inflammatory drugs to reduce the number of HIV target cells in the blood and at the female genital tract",journal-article,Journal of the International AIDS Society,Wiley,2018,1758-2652,,https://doi.org/10.1002/jia2.25150,"School of Pharmacy, University of Waterloo; Waterloo ON Canada"
On principles and standards in ecological restoration,journal-article,Restoration Ecology,Wiley,2018,1061-2971,,https://doi.org/10.1111/rec.12691,"School of Environment, Resources, and Sustainability; University of Waterloo; Waterloo Ontario N2L 3G1 Canada"
The evolution of Society for Ecological Restoration's principles and standards-counter-response to Gann et al.,journal-article,Restoration Ecology,Wiley,2018,1061-2971,,https://doi.org/10.1111/rec.12821,"School of Environment, Resources, and Sustainability; University of Waterloo; Waterloo Ontario N2L 3G1 Canada"
"
          Tabanus bovinus in Bolivia?",journal-article,Journal of Travel Medicine,Oxford University Press (OUP),2017,1708-8305,,https://doi.org/10.1093/jtm/tax088,"Department of Biology, University of Waterloo, Waterloo, ON, Canada N2L 3G1"
A Natural Biopolymer Film as a Robust Protective Layer to Effectively Stabilize Lithium-Metal Anodes,journal-article,Small,Wiley,2018,1613-6810,,https://doi.org/10.1002/smll.201801054,Department of Chemical Engineering; Waterloo Institute for Sustainable Energy; University of Waterloo; Waterloo Ontario N2L 3G1 Canada
"A novel approach for synthesis of poly(norbornene)-co
-poly(styrene) block copolymers via metathesis polymerization and free-radical polymerization",journal-article,Journal of Applied Polymer Science,Wiley,2018,0021-8995,,https://doi.org/10.1002/app.46622,Department of Chemical Engineering; University of Waterloo; Waterloo Ontario Canada
Modeling Automation With Cognitive Work Analysis to Support Human-Automation Coordination,journal-article,Journal of Cognitive Engineering and Decision Making,SAGE Publications,2017,1555-3434,,https://doi.org/10.1177/1555343417709669,University of Waterloo
Automation and the Human Factors Race to Catch Up,journal-article,Journal of Cognitive Engineering and Decision Making,SAGE Publications,2017,1555-3434,,https://doi.org/10.1177/1555343417724975,University of Waterloo
Bioorthogonal DNA Adsorption on Polydopamine Nanoparticles Mediated by Metal Coordination for Highly Robust Sensing in Serum and Living Cells,journal-article,ACS Nano,American Chemical Society (ACS),2018,1936-0851,,https://doi.org/10.1021/acsnano.8b03019,"Department of Chemistry, Waterloo Institute for Nanotechnology, University of Waterloo, Waterloo, Ontario, Canada, N2L 3G1"
"Highly Conducting Hybrid Silver-Nanowire-Embedded Poly(3,4-ethylenedioxythiophene):Poly(styrenesulfonate) for High-Efficiency Planar Silicon/Organic Heterojunction Solar Cells",journal-article,ACS Nano,American Chemical Society (ACS),2018,1936-0851,,https://doi.org/10.1021/acsnano.8b04848,"WATLab and Department of Chemistry, University of Waterloo, Waterloo, Ontario N2L3G1, Canada"
Self-Assembly of ABC Bottlebrush Triblock Terpolymers with Evidence for Looped Backbone Conformations,journal-article,Macromolecules,American Chemical Society (ACS),2018,0024-9297,,https://doi.org/10.1021/acs.macromol.8b01370,"Department of Chemical Engineering, Department of Physics and Astronomy, and Waterloo Institute for Nanotechnology, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
Poly(2-oxazoline)-Based Nanogels as Biocompatible Pseudopolypeptide Nanoparticles,journal-article,Biomacromolecules,American Chemical Society (ACS),2014,1525-7797,,https://doi.org/10.1021/bm501393q,"University of Waterloo, 200 University Avenue West, Waterloo, Ontario Canada, N2L 3G1"
A bootstrap recipe for post-model-selection inference under linear regression models,journal-article,Biometrika,Oxford University Press (OUP),2018,0006-3444,,https://doi.org/10.1093/biomet/asy046,"Department of Statistics and Actuarial Science, University of Waterloo, 200 University Avenue West, Waterloo, Ontario, Canada"
"Is there suitable housing near work? The impact of housing suitability on commute distances in Montreal, Toronto, and Vancouver",journal-article,Journal of Urbanism: International Research on Placemaking and Urban Sustainability,Informa UK Limited,2018,1754-9175,,https://doi.org/10.1080/17549175.2018.1484793,"School of Planning, University of Waterloo, Waterloo, Ontario, Canada"
Exercise Capacity and Aging,journal-article,American Journal of Lifestyle Medicine,SAGE Publications,2014,1559-8276,,https://doi.org/10.1177/1559827614542224,"Research Institute for Aging, University of Waterloo, Waterloo, Ontario, Canada (GAH)"
The Association Between State Value-Added Taxes and Tobacco Use in India—Evidence From GATS and TCP India Survey,journal-article,Nicotine & Tobacco Research,Oxford University Press (OUP),2017,1462-2203,,https://doi.org/10.1093/ntr/ntx184,"Department of Psychology, University of Waterloo, Waterloo, Canada"
Cation-assisted adsorption of chlorophenols by nano-xerogels,journal-article,The Canadian Journal of Chemical Engineering,Wiley,2015,0008-4034,,https://doi.org/10.1002/cjce.22341,"Department of Chemical Engineering; University of Waterloo; 200 University Ave. W. Waterloo, ON, N2L 3G1 Canada"
The Effect of Hypercarbia and Hyperoxia on the Total Blood Flow to the Retina as Assessed by Magnetic Resonance Imaging,journal-article,Investigative Opthalmology & Visual Science,Association for Research in Vision and Ophthalmology (ARVO),2011,1552-5783,,https://doi.org/10.1167/iovs.10-6762,"the University of Waterloo, School of Optometry, Waterloo, Ontario, Canada; the Departments of 4Ophthalmology & Vision Science and"
Community pharmacists’ perspectives on shared decision-making in diabetes management,journal-article,International Journal of Pharmacy Practice,Wiley,2017,0961-7671,,https://doi.org/10.1111/ijpp.12422,School of Pharmacy; University of Waterloo; Kitchener ON Canada
"Risk, responsibility and negative responses: a qualitative study of parental trust in childhood vaccinations",journal-article,Journal of Risk Research,Informa UK Limited,2017,1366-9877,,https://doi.org/10.1080/13669877.2017.1391318,"School of Public Health and Health Systems, University of Waterloo, Waterloo, Canada"
A mobile tool for capturing greater sage-grouse,journal-article,Wildlife Society Bulletin,Wiley,2018,1938-5463,,https://doi.org/10.1002/wsb.899,"School of Environment, Resources and Sustainability; University of Waterloo; Waterloo ON N2L 3G1 Canada"
How nonrandomized trials (NRT) inform pan-Canadian Oncology Drug Review (pCODR) expert review committee (pERC) recommendations in blood cancer.,journal-article,Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2018,0732-183X,,https://doi.org/10.1200/jco.2018.36.30_suppl.100,"Canadian Agency for Drugs and Technology in Health, Toronto, Ontario, Canada; School of Pharmacy, University of Waterloo, Toronto, ON, Canada;"
The Ramp Archetype: A Score-Based Study of Musical Dynamics in 14 Piano Composers,journal-article,Psychology of Music,SAGE Publications,2007,0305-7356,,https://doi.org/10.1177/0305735691191003,"Department of Music, Conrad Grebel College, University of Waterloo, Waterloo, Ontario, Canada, N2L 3G6"
The Linux kernel: a case study of build system variability,journal-article,Journal of Software: Evolution and Process,Wiley,2013,2047-7473,,https://doi.org/10.1002/smr.1595,Software Architecture Group (SWAG); University of Waterloo; Ontario Canada
Building a welcoming community,journal-article,Canadian Pharmacists Journal / Revue des Pharmaciens du Canada,SAGE Publications,2013,1715-1635,,https://doi.org/10.1177/1715163512472321,"C.T. Lamont Primary Health Care Research Centre (Ingar, Farrell, Pottie), University of Waterloo, Waterloo, Ontario"
Building a welcoming community,journal-article,Canadian Pharmacists Journal / Revue des Pharmaciens du Canada,SAGE Publications,2013,1715-1635,,https://doi.org/10.1177/1715163512472321,"Bruyère Research Institute, University of Ottawa, Ottawa, Ontario; and the School of Pharmacy (Ingar, Farrell), University of Waterloo, Waterloo, Ontario"
Seniors’ seasonal movements for health enhancement,journal-article,The Service Industries Journal,Informa UK Limited,2017,0264-2069,,https://doi.org/10.1080/02642069.2017.1365139,"Faculty of Applied Health Science, University of Waterloo, Waterloo, Ontario, Canada"
Hydrologic impacts of subsurface drainage from the field to watershed scale,journal-article,Hydrological Processes,Wiley,2017,0885-6087,,https://doi.org/10.1002/hyp.11218,"Department of Civil and Environmental Engineering, Earth and Environmental Sciences; University of Waterloo; 200 University Avenue West Waterloo ON N2L 3G1 Canada"
Spontaneous up-regulation of SIRT1 during osteogenesis contributes to stem cells’ resistance to oxidative stress,journal-article,Journal of Cellular Biochemistry,Wiley,2018,0730-2312,,https://doi.org/10.1002/jcb.26730,"Department of Biology; University of Waterloo; Waterloo, Ontario, Canada, N2L 3W3"
"Availability, Location, and Format of Nutrition Information in Fast-food Chain Restaurants in Ontario, Canada",journal-article,Canadian Journal of Dietetic Practice and Research,Dietitians of Canada,2014,1486-3847,,https://doi.org/10.3148/cjdpr-2014-026,"School of Public Health and Health Systems, University of Waterloo, Waterloo, ON."
Migration Insertion Polymerization (MIP) of Cyclopentadienyldicarbonyldiphenylphosphinopropyliron (FpP): A New Concept for Main Chain Metal-Containing Polymers (MCPs),journal-article,Journal of the American Chemical Society,American Chemical Society (ACS),2013,0002-7863,,https://doi.org/10.1021/ja400755e,"Department of Chemistry and WaterlooInstitute of Nanotechnology, University of Waterloo, 200 University Avenue, Waterloo,Canada N2L 3G1"
"VASCULAR PLANTS OF MOUNTAIN TALUS SLOPES, MT. RAE AREA, ALBERTA, CANADA",journal-article,Physical Geography,Informa UK Limited,2018,0272-3646,,https://doi.org/10.1080/02723646.1986.10642292,"b   Department of Geography , University of Waterloo , Waterloo, Ontario, Canada N2L 3Q1"
Visual Performance and Subjective Discomfort in Prolonged Viewing of Chromatic Displays,journal-article,Human Factors: The Journal of the Human Factors and Ergonomics Society,SAGE Publications,2017,0018-7208,,https://doi.org/10.1177/001872088903100302,University of Waterloo
"Cellulose nanocrystal (CNC)–inorganic hybrid systems: synthesis, properties and applications",journal-article,Journal of Materials Chemistry B,Royal Society of Chemistry (RSC),2018,2050-750X,,https://doi.org/10.1039/c7tb03016a,University of Waterloo
High-fat feeding does not induce an autophagic or apoptotic phenotype in female rat skeletal muscle,journal-article,Experimental Biology and Medicine,SAGE Publications,2014,1535-3702,,https://doi.org/10.1177/1535370214557223,"Department of Kinesiology, University of Waterloo, Waterloo, Ontario, N2L3G1, Canada"
The VM already knew that: leveraging compile-time knowledge to optimize gradual typing,journal-article,Proceedings of the ACM on Programming Languages,Association for Computing Machinery (ACM),2017,2475-1421,,https://doi.org/10.1145/3133879,"University of Waterloo, Canada"
Molecular Simulation of Chemical Reaction Equilibrium by Computationally Efficient Free Energy Minimization,journal-article,ACS Central Science,American Chemical Society (ACS),2018,2374-7943,,https://doi.org/10.1021/acscentsci.8b00361,"Department of Chemical Engineering, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
Amplifying the Macromolecular Crowding Effect Using Nanoparticles,journal-article,Journal of the American Chemical Society,American Chemical Society (ACS),2011,0002-7863,,https://doi.org/10.1021/ja207661z,"Departmentof Chemistry, Waterloo Institute for Nanotechnology, University of Waterloo, Waterloo, Ontario N2L 3G1,Canada"
Dissecting Colloidal Stabilization Factors in Crowded Polymer Solutions by Forming Self-Assembled Monolayers on Gold Nanoparticles,journal-article,Langmuir,American Chemical Society (ACS),2013,0743-7463,,https://doi.org/10.1021/la3051093,"Departmentof Chemistry and Waterloo Institute for Nanotechnology, and ‡Department ofBiology, University of Waterloo, 200 University Avenue West, Waterloo, Ontario N2L 3G1, Canada"
"Neuroimaging, neuromodulation, and population health: the neuroscience of chronic disease prevention",journal-article,Annals of the New York Academy of Sciences,Wiley,2018,0077-8923,,https://doi.org/10.1111/nyas.13868,School of Public Health and Health Systems; University of Waterloo; Waterloo Ontario Canada
"Nanoscale Shape and Size Control of Cubic, Cuboctahedral, and Octahedral Cu−Cu2O Core−Shell Nanoparticles on Si(100) by One-Step, Templateless, Capping-Agent-Free Electrodeposition",journal-article,ACS Nano,American Chemical Society (ACS),2010,1936-0851,,https://doi.org/10.1021/nn100023h,"WATLab and Department of Chemistry, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada"
Vascular biology of angiotensin and the impact of physical activity,journal-article,"Applied Physiology, Nutrition, and Metabolism",Canadian Science Publishing,2008,1715-5312,,https://doi.org/10.1139/h07-147,"Department of Kinesiology, University of Waterloo, Waterloo, ON N2L 3G1, Canada"
Effect of Groundwater–Lake Interactions on Arsenic Enrichment in Freshwater Beach Aquifers,journal-article,Environmental Science & Technology,American Chemical Society (ACS),2014,0013-936X,,https://doi.org/10.1021/es5020136,"EcohydrologyGroup, University of Waterloo, Waterloo, Ontario N2L 3G2, Canada"
Research on Chinese urban form: retrospect and prospect,journal-article,Progress in Human Geography,SAGE Publications,2006,0309-1325,,https://doi.org/10.1191/0309132506ph611oa,"Faculty of Environmental Studies, University of Waterloo, Waterloo,                         Ontario, N2L 3G1, Canada"
A Role for Set in the Control of Automatic Spatial Response Activation,journal-article,Experimental Psychology,Hogrefe Publishing Group,2007,1618-3169,,https://doi.org/10.1027/1618-3169.55.1.38,"University of Waterloo, Ontario, Canada"
Methodology and Design of Field Experiments for Monitoring the Hygrothermal Performance of Wood Frame Enclosures,journal-article,Journal of Thermal Envelope and Building Science,SAGE Publications,2003,1097-1963,,https://doi.org/10.1177/0075424202026002098,"Department of Civil Engineering, University of Waterloo, Waterloo, Ontario, N2L 3T2 Canada;"
“I'll Show You How to Write My Name”: The Contribution of Naturalistic Sibling Teaching to the Home Literacy Environment,journal-article,Reading Research Quarterly,Wiley,2017,0034-0553,,https://doi.org/10.1002/rrq.199,University of Waterloo; Ontario Canada
Timolol maleate release from hyaluronic acid-containing model silicone hydrogel contact lens materials,journal-article,Journal of Biomaterials Applications,SAGE Publications,2015,0885-3282,,https://doi.org/10.1177/0885328215581507,"School of Optometry and Vision Science, University of Waterloo, Waterloo, ON, Canada"
Assessment of health literacy in adult population of Karachi: a preliminary investigation for concept-based evidence,journal-article,International Journal of Health Promotion and Education,Informa UK Limited,2018,1463-5240,,https://doi.org/10.1080/14635240.2017.1421866,"School of Public Health and Health Sciences, University of Waterloo, Waterloo, Canada"
Basic Statistics on the Success Rate and Profits for Independent Inventors,journal-article,Entrepreneurship Theory and Practice,SAGE Publications,2018,1042-2587,,https://doi.org/10.1177/104225879802300203,University of Waterloo.
The Tourism Satellite Account: Perspectives of Canadian Tourism Associations and Organizations,journal-article,Tourism Economics,SAGE Publications,2017,1354-8166,,https://doi.org/10.1177/135481669500100302,"Department of Recreation and Leisure Studies, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1"
Tourism for development and the new global aid regime,journal-article,Global Social Policy: An Interdisciplinary Journal of Public Policy and Social Development,SAGE Publications,2014,1468-0181,,https://doi.org/10.1177/1468018114523633,"University of Waterloo, Canada; Balsillie School of International Affairs, Canada"
"Book Reviews : The politics of identity: class, culture, social movements. By Stanley Aronowitz. London, Routledge. 1992. x + 287 pp. £11.99. ISBN 0 415 90437 4. Bringing it all back home: class, gender and power in the modern household. By Harriet Fraad, Stephen Resnick, and Richard Wolff. London: Pluto Press. 1994. xvi + 172 pp. £12.95, paper. ISBN 0 7453 0708 6",journal-article,Ecumene,SAGE Publications,2007,0967-4608,,https://doi.org/10.1177/147447409600300212,"University of Waterloo, Canada"
Spatial probabilistic pulsatility model for enhancing photoplethysmographic imaging systems,journal-article,Journal of Biomedical Optics,SPIE-Intl Soc Optical Eng,2016,1083-3668,,https://doi.org/10.1117/1.jbo.21.11.116010,"University of Waterloo, Department of Systems Design Engineering, 200 University Avenue West, Waterloo N2L 3G1, CanadabSchlegel-University of Waterloo Research Institute for Aging, 250 Laurelwood Drive, Waterloo N2J 0E2, Canada"
Model fitting of sorption kinetics data: Misapplications overlooked and their rectifications,journal-article,AIChE Journal,Wiley,2017,0001-1541,,https://doi.org/10.1002/aic.16051,"Dept. of Chemical Engineering; University of Waterloo; Waterloo Ontario, N2L 3G1 Canada"
Radiation Induced Long Chain Branching in High-Density Polyethylene through a Reactive Extrusion Process,journal-article,Macromolecular Reaction Engineering,Wiley,2013,1862-832X,,https://doi.org/10.1002/mren.201300134,"Department of Chemical Engineering, Institute for Polymer Research; University of Waterloo; Waterloo Ontario, Canada N2L 3G1"
Blood Flow Dynamics in Heart Failure,journal-article,Circulation,Ovid Technologies (Wolters Kluwer Health),2012,0009-7322,,https://doi.org/10.1161/01.cir.99.23.3002,"From the Department of Medicine, Section of Cardiology, Pennsylvania State University College of Medicine, Hershey, Pa (J.K.S., C.S.H., L.I.S.); Department of Kinesiology, University of Waterloo, Waterloo, Ontario, Canada (H.L.N.); and Lebanon VA Medical Center, Lebanon, Pa (L.I.S.)."
Sarcolipin trumps β-adrenergic receptor signaling as the favored mechanism for muscle-based diet-induced thermogenesis,journal-article,The FASEB Journal,FASEB,2013,0892-6638,,https://doi.org/10.1096/fj.13-230631,"Department of Kinesiology, University of Waterloo, Waterloo, Ontario, Canada;"
Persistence of diet-induced obesity despite access to voluntary activity in mice lacking sarcolipin,journal-article,Physiological Reports,Wiley,2015,2051-817X,,https://doi.org/10.14814/phy2.12549,Department of Kinesiology; University of Waterloo; Waterloo Ontario Canada
Spontaneous Cardiac Baroreflex in Humans,journal-article,Hypertension,Ovid Technologies (Wolters Kluwer Health),2012,0194-911X,,https://doi.org/10.1161/01.hyp.25.5.1058,"From the Laboratoire de Physiologie de l’Environnement (CNRA SDI 6100 and URA 1341) and Département d’Anesthésie, Faculté de Médecine Grange Blanche and Hôpital Edouard Herriot, Lyon, France; and the Department of Kinesiology, University of Waterloo (Ontario, Canada)."
Molar Absorbance Coefficient of Pyrene Aggregates in Water Generated by a Poly(ethylene oxide) Capped at a Single End with Pyrene,journal-article,The Journal of Physical Chemistry B,American Chemical Society (ACS),2012,1520-6106,,https://doi.org/10.1021/jp208168r,"Institute of Polymer Research, Department of Chemistry, University of Waterloo, Waterloo, ON N2L 3G1, Canada"
Studying Pyrene-Labeled Macromolecules with the Model-Free Analysis,journal-article,The Journal of Physical Chemistry B,American Chemical Society (ACS),2012,1520-6106,,https://doi.org/10.1021/jp307161c,"Instituteof Polymer Research,Waterloo Institute of Nanotechnology, Department of Chemistry, University of Waterloo, Waterloo, OntarioN2L 3G1, Canada"
DNA-templated fluorescent gold nanoclusters reduced by Good’s buffer: from blue-emitting seeds to red and near infrared emitters,journal-article,Canadian Journal of Chemistry,Canadian Science Publishing,2015,0008-4042,,https://doi.org/10.1139/cjc-2014-0600,"Department of Chemistry, Waterloo Institute for Nanotechnology, University of Waterloo, 200 University Avenue West, Waterloo, ON N2L 3G1, Canada."
DNA-templated fluorescent gold nanoclusters reduced by Good’s buffer: from blue-emitting seeds to red and near infrared emitters,journal-article,Canadian Journal of Chemistry,Canadian Science Publishing,2015,0008-4042,,https://doi.org/10.1139/cjc-2014-0600,"Department of Chemistry, Waterloo Institute for Nanotechnology, University of Waterloo, 200 University Avenue West, Waterloo, ON N2L 3G1, Canada."
Women's Leisure as Resistance to Pronatalist Ideology,journal-article,Journal of Leisure Research,Informa UK Limited,2018,0022-2216,,https://doi.org/10.1080/00222216.2005.11950047,Department of Recreation and Leisure Studies University of Waterloo
